Company Name,Phone,Website,Location 1
Paramount Hotel,(212) 764-5500,http://www.nycparamount.com, 235 W 46th St
Carter Hotel,(212) 944-6000,,"250 W 43rd St
"
Millennium Hotel,(212) 768-4400,http://www.millenniumhotelnyc.com/,145 W 44th St
Best Western President Hotel,(212) 246-8800,http://www.bestwestern.com, 234 W 48th St
Novotel,(212) 315-0100,www.novotel.com, 226 W 52nd St
Dream Hotel,(212) 247-2000,http://www.dreamny.com/, 1674 Broadway
W Hotel,(212) 930-7400,http://www.starwoodhotels.com/whotels/index.html, 1567 Broadway
Doubletree Guest Suites,2127191600,www.nycdoubletreehotels.com, 1568 Broadway
Stay Hotel,(212) 768-3700,, 157 W 47th St
Hotel 41 At Times Square,(212) 703-8600,, 206 W 41st St
"Time Hotel, The",(877) 846-3692,http://www.thetimeny.com/, 224 W 49th St
Hilton Times Square,(212) 642-2510,, 234 W 42nd St
The Westin New York at Times Square,(212) 868-1900 ext 245,www.westinny.com, 270 W 43rd St
Crowne Plaza Times Square,(212) 977-4000,www.cpmanhattantimessquare.com, 1605 Broadway
Renaissance Times Square,(212) 261-5100,, 714 Seventh Ave
New York Inn,(888) 465-1140,http://www.newyorkinn.com/, 765 Eighth Ave
Casablanca Hotel,(212) 869-1212,http://www.casablancahotel.com/, 147 W 43rd St
The French Quarters Guest Apartments,,, 346 W 46th St
Hotel St. James,(212) 221-3600,, 109 W 45th St
Big Apple Hostel,(212) 302-2603,, 119 W 45th St
Hotel Mela,(212) 710-7000,www.hotelmela.com, 120 W 44th St
AKA,(212) 645-5700,www.stayaka.com, 123 W 44th St
Grace Hotel,(212) 354-2323,www.hotelqt.com, 125 W 45th St
Comfort Inn Midtown,(212) 221-2600,www.comfortinn.com, 129 W 46th St
The Night Hotel,,www.nighthotelny.com, 132 W 45th St
"Muse Hotel, The",(212) 485-2701,, 130 W 46th St
Portland Square Hotel,(212) 382-0600,http://www.portlandsquarehotel.com/, 132 W 47th St
Flatotel International,(212) 887-9400,, 135 W 52nd St
Econo Lodge,(212) 246-1991 ,www.econolodge.com, 767 Eighth Ave
Hilton Garden Inn,2125817000,http://www.hiltonworldwide.com, 790 Eighth Ave
Milford Plaza Hotel & Restaurant,(212) 642-4641,, 700 Eighth Ave
InterContinental Hotel,(212) 755-5900 ,ichotelsgroup.com, 300 W 44th St
Mayfair Hotel,(212) 586-0300,www.mayfairnewyork.com, 242 W 49th St
The Michaelangelo Hotel,(212) 765-1900,http://www.michelangelohotel.com/, 152 W 51st St
Remington Hotel Co,(212) 221-2600,, 129 W 46th St
Amsterdam Court Hotel,(212) 459-1000 ,http://www.amsterdamcourtnyc.com/, 226 W 50th St
Sheraton Manhattan at Times Square,(212) 581-3300,, 790 Seventh Ave
Hampton Inn,(212) 581-4100,http://hamptoninn.hilton.com/en/hp/hotels/index.jhtml?ctyhocn=NYCMTHX, 851 Eighth Ave
Sheraton New York Hotel and Towers,(212) 581-1000,http://www.starwoodhotels.com/sheraton/property/overview/index.html?propertyID=421, 811 Seventh Ave
Hotel Edison,(212) 840-5000,http://www.edisonhotelnyc.com/, 228 W 47th St
Marriott Marquis Hotel,(212) 398-1900,http://www.marriott.com/hotels/travel/nycmq-new-york-marriott-marquis/, 1535 Broadway
